key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,1.156,space,1.098,space,0.835,space,0.423,j,0.185,j,20.748,,Too slow :(,0,0,0,43,1,t4.png,t2.png,2,0.059078,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,1,1,36,1,t3.png,t1.png,2,0.0565,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,2,2,18,1,t4.png,t5.png,1,0.90025,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,3,3,23,1,t5.png,t4.png,1,0.90025,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,4,4,21,1,t5.png,t4.png,1,0.90025,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,5,5,111,1,t5.png,t1.png,4,9.55E-11,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,6,6,25,1,t5.png,t5.png,0,0.97829,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,1.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,7,7,40,1,t1.png,t5.png,4,9.55E-11,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,1.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,8,8,10,1,t2.png,t3.png,1,0.90855,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,9,9,63,1,t2.png,t3.png,1,0.909,19,female,2020-11-15_16h03.05.581,torte-q,2020.1.3,MacIntel,60,13363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
