key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,key_resp_5.rt,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,l,0.36792,Correct!,0,66,66,117,1,t2.png,t4.png,2,0.059078,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.316225,Correct!,0,67,67,107,1,t1.png,t4.png,3,0.0000131,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.31545,Incorrect,0,68,68,100,1,t3.png,t2.png,1,0.90855,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.577805,Incorrect,0,69,69,23,1,t4.png,t5.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.582505,Correct!,0,70,70,61,1,t1.png,t1.png,0,0.97829,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.460815,Incorrect,0,71,71,81,1,t3.png,t1.png,2,0.056466,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.438105,Incorrect,0,72,72,19,1,t2.png,t4.png,2,0.059078,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.592705,Incorrect,0,73,73,116,1,t4.png,t5.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.478105,Correct!,0,74,74,7,1,t3.png,t2.png,1,0.90855,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.63833,Incorrect,0,75,75,47,1,t2.png,t3.png,1,0.90855,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.543175,Correct!,0,76,76,86,1,t5.png,t4.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.581965,Correct!,0,77,77,91,1,t5.png,t4.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.685855,Incorrect,0,78,78,30,1,t2.png,t3.png,1,0.90855,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.594105,Incorrect,0,79,79,45,1,t4.png,t5.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.41934,Correct!,0,80,80,21,1,t5.png,t4.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.399235,Correct!,0,81,81,63,1,t1.png,t5.png,4,9.55E-11,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.48787,Correct!,0,82,82,20,1,t5.png,t5.png,0,0.97829,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.59254,Incorrect,0,83,83,41,1,t4.png,t5.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.48704,Correct!,0,84,84,112,1,t5.png,t4.png,1,0.90025,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.467715,Incorrect,0,85,85,99,1,t4.png,t1.png,3,0.059078,25,Male,2020-07-31_13h36.19.211,torte-2b,2020.1.3,Win32,60,12917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
