key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,participant,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,back1.thisRepN,back1.thisTrialN,back1.thisN,back1.thisIndex,back1.ran,letter,key_resp_5.rt,back2.thisRepN,back2.thisTrialN,back2.thisN,back2.thisIndex,back2.ran,back3.thisRepN,back3.thisTrialN,back3.thisN,back3.thisIndex,back3.ran,back4.thisRepN,back4.thisTrialN,back4.thisN,back4.thisIndex,back4.ran,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,4.78379,space,2.48737,space,4.86249,space,3.35538,space,3.85453,space,46.95904,a,1.178315,Incorrect,0,0,0,98,1,t2.png,t4.png,2,0.0591,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.817015,Incorrect,0,1,1,111,1,t5.png,t1.png,4,9.55E-11,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.312125,Correct!,0,2,2,6,1,t1.png,t4.png,3,0.0000131,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.863395,Correct!,0,3,3,58,1,t5.png,t4.png,1,0.90025,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,1.169255,Incorrect,0,4,4,28,1,t2.png,t3.png,1,0.909,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.60321,Correct!,0,5,5,87,1,t5.png,t1.png,4,9.55E-11,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,1.119885,Incorrect,0,6,6,51,1,t3.png,t1.png,2,0.056466,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,0.60178,Correct!,0,7,7,42,1,t5.png,t4.png,1,0.90025,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Too slow :(,0,8,8,94,1,t5.png,t1.png,4,9.55E-11,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,0.98763,Correct!,0,9,9,114,1,t2.png,t3.png,1,0.90855,19,Female,2020-09-17_15h49.13.560,torte-2b,2020.1.3,MacIntel,60,13448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
